Number,X,Y,eval,real
1,-3.404,0.529,-194220.03,62.26030669431141
2,3.8,-1.1,-1100.744,90.12849984000002
3,1.3,2.1,-128.081,231.85190349000004
4,1.04,-0.92,-15910.478,5.216860356589671
5,0.64,0.0,-4374.944,7.271924999999999
6,0.64,-0.52,-4815.286,7.048294774454373
7,-2.12,-1.6,-6652.74,230.61096523040007
8,1.4,1.919,-7161.902,167.45475843524554
9,3.1,-1.3,-101129.434,104.04164549000002
10,-2.8,-0.28,-2596.464,79.28189781038336
11,2.4,-1.2,-116445.103,40.60168883999999
12,1.598,1.647,-11207.596,97.97732376695143
13,1.562,1.53,-6246.821,68.61477369519852
14,0.0,-0.4,-3375.962,14.203125
15,-0.88,1.2,-140114.02,9.160684449600001
