Number,X,Y,R1,Desirability,Real,MAE,Dist_Minimo
1,0.138,0.222,-36305.364,1.0,12.58925642836629,36317.953256428365,2.8754700485311964
2,1.298,0.297,-18667.774,1.0,3.4727805428871026,18671.24678054289,1.7140633010481263
3,0.64,0.0,-40785.113,1.0,7.271924999999999,40792.384925,2.4123847122712414
4,0.0,-0.4,-31779.964,1.0,14.203125,31794.167125,3.132091952673165
5,0.64,-0.52,-2133.365,1.0,7.034191738943526,2140.3991917389435,2.570992026436488
6,2.4,-1.5,-7843.449,1.0,2340.183860999998,10183.632860999998,2.08806130178211
7,-2.4,2.16,-259298.615,1.0,19028.956341358877,278327.5713413589,5.649389347531289
8,0.861,-0.24,-15634.061,1.0,5.317344699029027,15639.37834469903,2.2633870636724955
9,-1.52,-2.8,-5117.796,1.0,7131.1510116490135,12248.947011649014,5.59646316882368
10,3.843,-0.446,-1256.338,1.0,57.369709758453816,1313.7077097584538,1.2671089140243628
11,-0.16,-0.8,-6435.769,1.0,16.852193850142513,6452.621193850143,3.416957711181103
12,1.6,2.119,-8232.087,1.0,1758.0840952760461,9990.171095276046,2.14036468855193
13,-1.52,-2.2,-29567.953,1.0,1989.5390694644955,31557.492069464497,5.265016619157056
14,-3.6,1.32,-163257.913,1.0,11026.104313761592,174284.01731376158,6.650744319247282
15,1.698,1.297,-3363.423,1.0,167.95818118712654,3531.3811811871265,1.5265690289010845
RESUMEN,,,,,3.4727805428871026,44883.00476004766,1.2671089140243628
