SIZE;;AFO-008(2);;;ERM-334(2);;;ERM-335;;;AFO-010;;;AFO-011;;;AFO-012;;;ERM-339;;;ERM-340;;;AFO-015(1);;;AFO-015(2);;;ERM-343;;;ERM-263;;;AFO-018(1);;;AFO-018(2);;;AFO-019;;;ERM-346;;;AFO-021;;;AFO-022;
PDI;0.439;0.513;0.529;0.575;0.573;0.553;0.084;0.075;0.07;0.192;0.181;0.189;0.194;0.195;0.178;0.183;0.197;0.187;0.104;0.104;0.12;0.227;0.207;0.161;0.146;0.162;0.153;0.13;0.15;0.163;0.227;0.227;0.229;0.227;0.278;0.331;0.119;0.122;0.106;0.13;0.119;0.128;0.476;0.486;0.483;0.329;0.339;0.323;0.33;0.339;0.33;0.126;0.119;0.117
X Intensity;R1.008(2);R2.008(2);R3.008(2);R1.334(2);R2.334(2);R3.334(2);R1.335;R2.335;R3.335;R1.010;R2.010;R3.010;R1.011;R2.011;R3.011;R1.012;R2.012;R3.012;R1.339;R2.339;R3.339;R1.340;R2.340;R3.340;R1.015(1);R2.015(1);R3.015(1);R1.015(2);R2.015(2);R3.015(2);R1.343;R2.343;R3.343;R1.263;R2.263;R3.263;R1.018(1);R2.018(1);R3.018(1);R1.018(2);R2.018(2);R3.018(2);R1.019;R2.019;R3.019;R1.346;R2.346;R3.346;R1.021;R2.021;R3.021;R1.022;R2.022;R3.022
0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.463;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.536;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.621;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.719;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.833;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.965;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
