SIZE;;ERM-423;;;ERM-424;;;ERM-425(1);;;ERM-425(2);;;ERM-426;;;ERM-427(1);;;ERM-427(2);;;ERM-428;;;ERM-429(1);;;ERM-429(2);;;ERM-430;;;ERM-431;;;ERM-432(1);;;ERM-432(2);;;ERM-433;
PDI;0.08;0.138;0.063;0.03;0.081;0.11;0.077;0.098;0.065;0.045;0.02;0.042;0.096;0.056;0.077;0.035;0.034;0.1;0.078;0.071;0.093;0.08;0.07;0.093;0.161;0.069;0.09;0.11;0.098;0.133;0.143;0.138;0.123;0.385;0.34;0.354;0.651;0.84;0.594;0.136;0.142;0.135;0.401;0.476;0.56
X Intensity;R1.423;R.2423;R3.423;R1.424;R2.424;R3.424;R1.425(1);R2.425(1);R3.425(1);R1.425(2);R2.425(2);R3.425(2);R1.426;R2.426;R3.426;R1.427(1);R2.427(1);R3.427(1);R1.427(2);R2.427(2);R3.427(2);R1.428;R2.428;R3.428;R1.429(1);R2.419(1);R3.429(1);R1.429(2);R2.429(2);R3.429(2);R1.430;R2.430;R3.430;R1.431;R2.431;R3.431;R1.432(1);R2.432(1);R3.432(1);R1.432(2);R2.432(2);R3.432(2);R1.433;R2.433;R3.433
0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.463;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.536;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.621;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.719;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.833;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.965;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
