SIZE;;ERM-301;;;AFO-024;;;ERM-303(1);;;ERM-303(2);;;AFO-026;;;AFO-027;;;AFO-028;;;ERM-307;;;AFO-030;;;ERM-311;;;ERM-312;;;ERM-313;;;AFO-034;;;ERM-308(1);;;ERM-308(2);;;AFO-036;;;ERM-316;;;AFO-038;;;ERM-309(1);;;ERM-309(2);;;AFO-040;
PDI;0.17;0.166;0.105;0.129;0.124;0.098;0.215;0.207;0.21;0.224;0.238;0.236;0.093;0.132;0.103;0.045;0.048;0.037;0.2;0.203;0.193;0.14;0.149;0.161;0.076;0.082;0.06;0.191;0.191;0.178;0.511;0.6202;0.584;0.545;0.562;0.568;0.166;0.192;0.201;0.315;0.262;0.257;0.236;0.219;0.239;0.307;0.287;0.284;0.114;0.11;0.101;0.213;0.214;0.214;0.139;0.141;0.165;0.14;0.126;;0.078;0.065;0.075
X Intensity;R1.301;R2.301;R3.301;R1.024;R2.024;R3.024;R1.303(1);R2.303(1);R3.303(1);R1.303(2);R2.303(2);R3.303(2);R1.026;R2.026;R3.026;R1.027;R2.027;R3.027;R1.028;R2.028;R3.028;R1.307;R2.307;R3.307;R1.030;R2.030;R3.030;R1.311;R2.311;R3.311;R1.312;R2.312;R3.312;R1.313;R2.313;R3.313;R1.034;R2.034;R3.034;R1.308(1);R2.308(1);R3.308(1);R1.308(2);R2.308(2);R3.308(2);R1.036;R2.036;R3.036;R1.316;R2.316;R3.316;R1.038;R2.038;R3.038;R1.309(1);R2.309(1);R3.309(1);R1.309(2);R2.309(2);R3.309(2);R1.040;R2.040;R3.040
0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.463;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.536;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.621;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.719;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.833;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.965;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
