Number,X,Y,eval,real
1,2.098,1.097,-800772.689,20.934855626805444
2,1.2,3.36,-362074.718,2435.655592669155
3,1.2,2.319,-1263775.695,334.4431127997521
4,-2.16,-1.2,-1375990.715,113.3239297104
5,-2.72,-1.6,-903222.524,349.2441828944002
6,-0.16,-0.8,-1708231.251,16.741192046400002
7,-2.5,-2.9,-277268.666,4760.317631249999
8,1.6,3.0,-684923.789,2204.4431250000002
9,-0.08,2.8,-537653.217,5.638561185600001
10,-2.8,-0.28,-607916.346,79.28189781038336
11,0.8,0.4,-1733909.245,7.05061044
12,1.563,2.14,-1217582.329,340.6153888702638
13,1.661,0.56,-1069520.353,3.4002399389978875
14,1.562,1.53,-1355273.567,68.61477369519852
15,1.782,-0.248,-352130.443,1.523266155255528
