Variable,Sigma_%,MAE_mean,MAE_std,MRE_mean,MRE_std
Size,2,132.87,25.52,514.12,1250.03
PdI,2,0.33,0.06,163.2,279.31
ZP,2,0.91,0.07,1578.51,6320.73
EE,2,121.03,21.31,585.6,2111.53
DL,2,11.17,0.61,3138.82,9737.64
Size,5,307.14,59.18,342.47,899.16
PdI,5,0.7,0.13,145.97,289.88
ZP,5,1.17,0.18,622.51,1402.0
EE,5,268.19,55.35,426.37,2063.37
DL,5,11.63,1.49,993.52,1060.37
Size,10,593.95,110.94,171.82,211.3
PdI,10,1.4,0.26,124.9,132.76
ZP,10,1.7,0.29,349.44,908.01
EE,10,525.57,106.14,180.1,194.97
DL,10,14.21,2.24,859.51,3562.09
