Variable,Sigma_%,MAE_mean,MAE_std,MRE_mean,MRE_std
Size,0.02,61.63,0.45,124.17,5.11
PdI,0.02,0.04,0.0,38.26,1.11
ZP,0.02,0.77,0.0,203.89,1.07
EE,0.02,32.11,0.41,46.04,0.88
DL,0.02,7.32,0.02,238.42,2.19
Size,0.05,61.74,1.22,139.14,98.91
PdI,0.05,0.04,0.0,38.3,3.01
ZP,0.05,0.77,0.01,203.8,2.84
EE,0.05,32.18,1.05,46.44,2.22
DL,0.05,7.32,0.05,238.99,5.81
Size,0.1,61.83,2.21,196.89,332.43
PdI,0.1,0.04,0.0,39.99,6.06
ZP,0.1,0.77,0.01,205.32,5.64
EE,0.1,32.58,2.27,48.23,5.2
DL,0.1,7.33,0.1,243.69,11.95
