Function,Round,MAE,MRE,Distance_M1,Distance_M2,Distance_M3,Distance_M4
Beale,0,0.0,0.0,1.35,,,
Beale,1,950732.45,7182061.13,1.08,,,
Beale,2,371118.17,553752.37,1.27,,,
Beale,3,61330.17,62119.2,1.27,,,
Beale,4,41113.02,181096.72,1.77,,,
Beale,5,62651.66,52384.76,1.55,,,
Beale,6,42177.17,380038.33,1.27,,,
Beale,7,44017.62,143646.16,1.27,,,
Beale,8,24298.42,54153.36,1.5,,,
Himmelblau,0,0.0,0.0,2.42,1.29,2.96,2.69
Himmelblau,1,679.75,1123.15,2.89,1.77,0.63,1.94
Himmelblau,2,0.0,0.08,0.65,0.38,0.28,0.34
Himmelblau,3,0.0,0.37,0.27,0.14,0.07,0.17
Himmelblau,4,1.31,987.81,0.06,0.04,0.03,0.06
Himmelblau,5,0.0,3.37,0.02,0.01,0.02,0.03
Himmelblau,6,0.0,93.58,0.0,0.0,0.0,0.0
Rastrigin,0,0.0,0.0,0.79,,,
Rastrigin,1,23.46,90.78,0.35,,,
Rastrigin,2,31.33,91.4,2.71,,,
Rastrigin,3,9.04,26.09,4.43,,,
Rastrigin,4,4.45,16.55,1.77,,,
Rastrigin,5,3.41,18.63,1.91,,,
Rastrigin,6,2.76,14.06,1.83,,,
Rastrigin,7,3.9,17.21,1.79,,,
Rosenbrock,0,0.0,0.0,0.61,,,
Rosenbrock,1,270.44,865.38,0.38,,,
Rosenbrock,2,0.0,0.43,0.4,,,
Rosenbrock,3,0.0,2.81,0.05,,,
Rosenbrock,4,0.0,24.08,0.01,,,
Rosenbrock,5,0.0,44.77,0.01,,,
