Number,X,Y,eval,real,Punctual_Abs_Error,Punctual_Rel_Error_%
1,0.501,-3.281,-61791.663,293.8908767504924,62085.55387675049,21125.37638569159
2,-1.52,-2.8,-7848.003,1526.4636712015988,9374.466671201599,614.1296938840492
3,0.861,-0.24,-9124.123,5.326332491218231,9129.449332491218,171402.1673927296
4,-2.72,-1.6,-3455.071,349.2441828944002,3804.3151828944,1089.2995128410482
5,1.6,2.119,-24305.401,336.2141869989757,24641.615186998977,7329.141999315469
6,1.563,2.14,-21364.866,340.6153888702638,21705.481388870267,6372.431222459422
7,3.618,-0.921,-9502.261,47.18612714854578,9549.447127148545,20237.827735016494
8,1.6,1.819,-13080.235,156.75484030909251,13236.989840309094,8444.389860120502
9,-3.2,0.12,-5296.272,81.69644310287617,5377.968443102876,6582.867305900545
10,-1.32,-2.6,-4017.705,804.6126521424002,4822.3176521424,599.3340571145962
11,-2.08,2.4,-693094.597,638.8790378063998,693733.4760378064,108586.04445995757
12,0.24,-0.12,-6531.724,11.256105461528676,6542.980105461529,58128.27649691313
13,-2.0,0.52,-57945.271,38.678224078656,57983.94922407866,149913.68038553826
14,1.298,0.297,-7136.238,3.3349103653986445,7139.572910365399,214085.9012116794
15,1.7,-1.7,-10552.768,94.55428340999997,10647.32228341,11260.539342508464
