Number,X,Y,eval,real
1,1.957,2.976,-13379.475,3069.4130341533314
2,0.982,0.552,-28372.495,6.849387488443613
3,2.8,-1.3,-18073.405,81.91859156000001
4,-0.18,3.8,-18575.0,51.03326288159999
5,-3.2,0.12,-20438.831,81.69644310287617
6,1.17,3.5,-4185.496,2921.6211328124996
7,-1.52,-2.8,-3718.893,1526.4636712015988
8,-3.2,-0.08,-9283.83,87.99133847475457
9,-0.8,-0.68,-12519.995,28.788152355279358
10,1.6,3.0,-44636.575,2204.4431250000002
11,-0.16,-0.8,-5786.151,16.741192046400002
12,-2.4,2.16,-113748.652,411.67957444367613
13,1.6,1.05,-3161.225,16.602075840000005
14,1.24,-2.8,-35771.666,792.9562093903996
15,0.138,0.222,-21513.772,12.621434866047583
