Number,X,Y,eval,real,Punctual_Abs_Error,Punctual_Rel_Error_%
1,-3.652,-3.428,2.396,2.398259548671996,0.002259548671996292,0.09421618578554129
2,3.495,-1.988,0.795,0.797428107360998,0.0024281073609979664,0.3044923220769738
3,-3.667,-3.123,1.296,1.2922862889620006,0.0037137110379994454,0.287375256529449
4,-2.763,3.265,0.821,0.8151795911860014,0.00582040881399859,0.714003254857068
5,3.163,2.216,2.653,2.6425258900969975,0.01047410990300257,0.39636735224638064
6,3.111,1.729,0.976,0.9751167915220025,0.0008832084779974991,0.09057463533357384
7,3.6,-1.559,1.101,1.1007680913610012,0.0002319086389988012,0.021067892575998177
8,-2.983,3.057,1.322,1.3193034115220028,0.0026965884779972527,0.20439486887147187
9,-3.073,3.033,2.936,2.943267752162002,0.00726775216200215,0.2469279988768797
10,3.539,-1.6,0.818,0.8174980794409994,0.0005019205590005571,0.06139715451610205
11,-3.979,-3.387,2.343,2.3321209718420017,0.010879028157998238,0.4664864425710108
12,-3.727,-3.328,0.317,0.3128916808969996,0.004108319103000413,1.3130164059404397
13,3.654,-1.505,1.892,1.885434935281002,0.006565064718997871,0.3481989537877861
14,3.559,-1.48,1.602,1.5987755233610013,0.00322447663899883,0.2016841383848699
15,-3.863,-3.204,0.88,0.8734965188169977,0.006503481183002258,0.7445342989815363
