Number,X,Y,eval,real
1,3.06,1.987,2.396,0.12298709256100003
2,-2.891,3.101,0.795,0.2860862625620014
3,3.601,-1.754,1.296,0.14945059665700003
4,-2.819,3.167,0.821,0.05741573544199963
5,-2.821,3.059,2.653,0.21514025904199818
6,-3.839,-3.339,0.976,0.2551889904819992
7,-3.763,-3.311,1.101,0.06263846840200016
8,-3.754,-3.256,1.322,0.049972289552000185
9,3.534,-1.9,2.936,0.18952879233600076
10,3.65,-1.869,0.818,0.22615732192100005
11,3.539,-1.745,2.343,0.22164619006599848
12,-2.749,3.132,0.317,0.10037143777699925
13,3.52,-1.848,1.892,0.2136092508160009
14,3.037,2.056,1.602,0.14781486465699933
15,3.049,1.894,0.88,0.1685767884970003
