Number,X,Y,eval,real
1,4.0,-0.056,17.798,16.61579742346126
2,4.0,-0.133,17.814,19.3108332346328
3,4.0,-0.195,17.85,22.650645797547085
4,4.0,0.173,17.938,21.378418219225416
5,0.816,-1.57,19.313,28.14996216752357
6,0.939,-4.0,20.282,17.60726946665339
7,1.12,-4.0,20.395,19.96471372578589
8,-4.0,-1.271,22.415,28.93108459092282
9,-4.0,-1.268,22.415,28.736387848734815
10,-4.0,-1.2,22.44,24.34983005625052
11,-4.0,-1.102,22.557,19.19873415129124
12,4.0,4.0,23.867,32.0
13,1.278,4.0,24.182,29.383514589752753
14,1.406,4.0,24.214,36.28279499195812
15,-4.0,4.0,32.359,32.0
