Number,X,Y,eval,real,Punctual_Abs_Error,Punctual_Rel_Error_%
1,4.0,-0.112,18.717,18.388118889885522,0.3288811101144766,1.7885522281204052
2,4.0,-0.195,18.736,22.650645797547085,3.9146457975470845,17.282711638937087
3,0.913,-4.0,19.047,18.29079468300705,0.7562053169929506,4.134349163601396
4,1.049,-4.0,19.109,17.57060758482781,1.5383924151721935,8.75548786656981
5,0.886,-1.604,20.522,23.75520217911732,3.2332021791173204,13.61050162713226
6,0.987,4.0,23.934,17.0075097196597,6.9264902803403,40.72606980393888
7,1.049,4.0,23.944,17.57060758482781,6.373392415172191,36.27303372636701
8,1.08,4.0,23.956,18.403333199561366,5.552666800438633,30.172071223331315
9,-4.0,-1.255,24.7,27.88913259078127,3.18913259078127,11.435036856741236
10,-4.0,-1.2,24.714,24.34983005625052,0.3641699437494772,1.4955748886468962
11,4.0,4.0,31.197,32.0,0.8030000000000008,2.5093750000000026
12,-4.0,4.0,32.175,32.0,0.17499999999999716,0.5468749999999911
