Number,X,Y,eval,real,Punctual_Abs_Error,Punctual_Rel_Error_%
1,0.986,0.973,0.0,0.0002606416000000047,0.0002606416000000047,100.0
2,1.005,1.008,0.0,0.0004350624999998861,0.0004350624999998861,100.0
3,1.012,1.024,0.0,0.000146073599999998,0.000146073599999998,100.0
4,0.994,0.989,0.0,0.00012892959999999328,0.00012892959999999328,100.0
5,1.018,1.037,0.0,0.00036969759999998686,0.00036969759999998686,100.0
6,0.979,0.957,0.001,0.0006486481000000082,0.0003513518999999918,54.166797066080576
7,0.971,0.942,0.001,0.0009117280999999982,8.827190000000183e-05,9.681822903122324
8,1.031,1.06,0.001,0.0018377520999998582,0.0008377520999998582,45.58569678684752
9,0.961,0.923,0.002,0.0015481440999999903,0.00045185590000000977,29.186940673029895
10,1.037,1.073,0.002,0.00193021609999992,6.978390000008002e-05,3.6153413081614496
11,0.953,0.908,0.002,0.0022133681,0.00021336809999999984,9.639973576921067
12,0.947,0.896,0.003,0.0028744480999999787,0.00012555190000002135,4.367861086099355
13,1.06,1.123,0.004,0.003636000000000025,0.000363999999999975,10.011001100109256
14,0.93,0.865,0.005,0.00490099999999999,9.900000000000967e-05,2.0199959192003645
15,0.922,0.849,0.006,0.006201505600000012,0.00020150560000001174,3.249301266453929
