Number,X,Y,eval,real
1,-1.171,-1.901,18.377,12.09571831898968
2,-3.85,-1.165,17.136,25.211458319571552
3,-0.36,-1.44,1.651,37.87520475636941
4,0.28,-0.203,6.947,19.08306047757453
5,-3.8,-1.7,18.254,37.33000000000001
6,3.2,-3.2,-19.649,34.299660112501044
7,1.48,0.4,5.164,40.361716956894256
8,1.125,3.85,16.13,23.13920466520979
9,0.332,-2.671,-9.53,36.93412045216233
10,1.78,3.8,16.857,32.64441691039328
11,1.12,-4.0,19.835,19.96471372578589
12,1.996,-0.116,-8.101,6.541218652925179
13,-0.077,-1.447,-4.748,22.698055638473498
14,3.005,-2.75,-30.515,26.59745939634271
15,0.505,0.073,8.885,21.289009235804958
