Number,X,Y,eval,real
1,1.02,1.043,0.002,0.0010759999999999672
2,0.917,0.835,0.01,0.010357032100000163
3,0.899,0.807,0.01,0.010345240099999998
4,0.933,0.864,0.008,0.008699712100000093
5,0.986,0.971,0.0,0.00033904159999999435
6,0.968,0.932,0.004,0.003548057599999919
7,1.027,1.058,0.001,0.0017989441000001562
8,1.059,1.126,0.006,0.0055231360999999386
9,1.09,1.183,0.009,0.010701000000000122
10,0.922,0.849,0.006,0.006201505600000012
11,1.075,1.152,0.007,0.006939062499999986
12,1.013,1.02,0.003,0.003974656099999836
13,1.053,1.112,0.003,0.0038272481000000995
14,1.0,0.995,0.002,0.0025000000000000044
15,0.976,0.947,0.004,0.0036851776000000297
