Number,X,Y,eval,real
1,0.138,0.222,-36305.364,12.621434866047583
2,1.298,0.297,-18667.774,3.3349103653986445
3,0.64,0.0,-40785.113,7.271924999999999
4,0.0,-0.4,-31779.964,14.203125
5,0.64,-0.52,-2133.365,7.048294774454373
6,2.4,-1.5,-7843.449,109.828125
7,-2.4,2.16,-259298.615,411.67957444367613
8,0.861,-0.24,-15634.061,5.326332491218231
9,-1.52,-2.8,-5117.796,1526.4636712015988
10,3.843,-0.446,-1256.338,19.575878387177074
11,-0.16,-0.8,-6435.769,16.741192046400002
12,1.6,2.119,-8232.087,336.2141869989757
13,-1.52,-2.2,-29567.953,466.67290384160015
14,-3.6,1.32,-163257.913,4.522280110871047
15,1.698,1.297,-3363.423,37.08737686898118
