Number,X,Y,eval,real
1,-3.652,-3.428,2.396,2.398259548671996
2,3.495,-1.988,0.795,0.797428107360998
3,-3.667,-3.123,1.296,1.2922862889620006
4,-2.763,3.265,0.821,0.8151795911860014
5,3.163,2.216,2.653,2.6425258900969975
6,3.111,1.729,0.976,0.9751167915220025
7,3.6,-1.559,1.101,1.1007680913610012
8,-2.983,3.057,1.322,1.3193034115220028
9,-3.073,3.033,2.936,2.943267752162002
10,3.539,-1.6,0.818,0.8174980794409994
11,-3.979,-3.387,2.343,2.3321209718420017
12,-3.727,-3.328,0.317,0.3128916808969996
13,3.654,-1.505,1.892,1.885434935281002
14,3.559,-1.48,1.602,1.5987755233610013
15,-3.863,-3.204,0.88,0.8734965188169977
