Number,X,Y,eval,real
1,4.0,-4.0,23.262,32.0
2,4.0,-3.799,23.279,37.40204830367227
3,4.0,-3.316,23.32,41.024920357136594
4,3.961,-4.0,23.323,31.98825503509895
5,4.0,-3.267,23.324,37.73940054275258
6,4.0,-3.205,23.33,33.482113939607714
7,4.0,-3.103,23.338,27.6506646046143
8,4.0,-2.972,23.35,24.987140654707947
9,4.0,-2.869,23.358,27.431627212775805
10,4.0,-2.533,23.387,42.20189804325472
11,4.0,-2.356,23.402,37.72933213090333
12,3.903,-4.0,23.412,33.03388790674549
13,4.0,-2.192,23.416,27.240745212867502
14,4.0,-1.973,23.435,20.036283048510022
15,4.0,-1.894,23.442,21.724351678633823
