Number,X,Y,eval,real
1,0.779,0.655,0.275,0.2807699280999995
2,-0.712,0.465,3.108,3.106873913599999
3,-0.959,0.952,3.944,3.9421327761000002
4,0.02,-0.116,2.315,2.315296
5,0.3,0.18,1.3,1.2999999999999998
6,0.805,0.65,0.039,0.038415062499999965
7,0.101,0.024,0.827,0.8272422401
8,1.594,2.425,1.66,1.6946338896000064
9,0.305,0.227,2.278,2.2779550625000007
10,0.762,0.535,0.265,0.26498147360000013
11,-1.01,1.007,4.056,4.057261
12,0.01,-0.052,1.252,1.251541
13,0.044,-0.15,3.222,3.2223908096
14,0.308,0.088,0.484,0.4835754496
15,0.253,0.021,0.747,0.7429864080999999
