Function,Round,MAE,MRE,Distance_M1,Distance_M2,Distance_M3,Distance_M4
Beale,0,0.0,0.0,1.3,,,
Beale,1,19711.01,4236.87,1.0,,,
Beale,2,165.94,5759.5,0.53,,,
Beale,3,306.92,2407.6,0.0,,,
Beale,4,359.81,9302.27,0.04,,,
Beale,5,13.81,13952.37,0.15,,,
Beale,6,12.5,10742.46,0.14,,,
Himmelblau,0,0.0,0.0,3.0,2.98,2.56,2.42
Himmelblau,1,0.0,0.0,2.24,2.14,0.83,2.59
Himmelblau,2,0.0,0.0,6.4,5.16,0.23,5.59
Himmelblau,3,0.0,0.02,5.04,6.23,0.17,1.15
Himmelblau,4,0.0,0.03,7.5,5.63,0.24,6.62
Himmelblau,5,0.0,3.31,8.55,6.45,0.03,7.47
Rastrigin,0,0.0,0.0,0.0,,,
Rastrigin,1,0.0,0.0,0.0,,,
Rastrigin,2,0.0,0.0,0.0,,,
Rastrigin,3,0.0,0.0,0.0,,,
Rosenbrock,0,0.0,0.0,1.0,,,
Rosenbrock,1,0.0,0.0,0.17,,,
Rosenbrock,2,0.0,0.0,0.17,,,
Rosenbrock,3,0.0,0.0,0.0,,,
Rosenbrock,4,0.0,0.0,0.0,,,
