Number,X,Y,eval,real,Punctual_Abs_Error,Punctual_Rel_Error_%
1,2.5,0.5,6.103759766,0.39453125,5.709228516,1447.091584253465
2,3.5,0.5,23.45727539,0.39453125,23.06274414,5845.606435485149
3,2.5,1.0,286.3125,14.203125,272.109375,1915.8415841584158
4,3.5,1.0,1887.25,14.203125,1873.046875,13187.56875687569
5,2.42628,0.75,49.37008489,3.7047894540785147,45.665295435921486,1232.6016363939293
6,3.57372,0.75,369.8331418,1.151623399391016,368.681518400609,32014.06975540524
7,3.0,0.463139,6.729122522,0.029497172302007817,6.6996253496979925,22712.77151960075
8,3.0,1.03686,965.6632943,17.536423836010513,948.1268704639895,5406.614708507671
9,3.0,0.75,140.5041504,2.234619140625,138.269531259375,6187.610619888561
10,3.0,0.75,140.5041504,2.234619140625,138.269531259375,6187.610619888561
11,3.0,0.75,140.5041504,2.234619140625,138.269531259375,6187.610619888561
