Number,X,Y,eval,real,Punctual_Abs_Error,Punctual_Rel_Error_%
1,-3.9,-3.4,1.09,1.0916999999999957,0.001699999999995594,0.15572043601681787
2,3.6,-3.4,68.66,68.65919999999997,0.0008000000000265572,0.0011651752423951307
3,-3.9,-3.0,5.07,5.074099999999999,0.004099999999998438,0.08080250684847438
4,3.6,-3.0,32.44,32.441599999999994,0.001599999999996271,0.004931939238497088
5,-3.9,-3.13333,2.33,2.3304684404234077,0.0004684404234076567,0.020100698009132823
6,3.6,-3.26667,54.58,54.57675997694324,0.0032400230567617427,0.005936635040501742
7,3.6,-3.13333,42.56,42.564306773923406,0.004306773923403284,0.010118275733417526
8,-1.4,-3.4,164.74,164.73919999999995,0.000800000000054979,0.0004856160525576057
9,1.1,-3.4,206.01,206.01169999999996,0.001699999999971169,0.0008251958505129415
10,-1.4,-3.0,145.32,145.32160000000005,0.0016000000000531145,0.0011010063198128247
11,1.1,-3.0,173.19,173.19409999999996,0.004099999999965576,0.0023672861835163993
12,-0.15,-3.2,210.55,210.54960625,0.00039375000000063665,0.00018701056108037087
13,-0.15,-3.2,210.55,210.54960625,0.00039375000000063665,0.00018701056108037087
14,-0.15,-3.2,210.55,210.54960625,0.00039375000000063665,0.00018701056108037087
15,-0.15,-3.2,210.55,210.54960625,0.00039375000000063665,0.00018701056108037087
