Number,X,Y,eval,real,Punctual_Abs_Error,Punctual_Rel_Error_%
1,-0.25,-0.25,20.125,20.125,0.0,0.0
2,0.25,-0.25,20.125,20.125,0.0,0.0
3,-0.25,0.25,20.125,20.125,0.0,0.0
4,0.25,0.25,20.125,20.125,0.0,0.0
5,-0.25,-0.0833333,11.40918935,11.409189353847143,3.847143048574253e-09,3.371968795729565e-08
6,-0.25,0.0833333,11.40918935,11.409189353847143,3.847143048574253e-09,3.371968795729565e-08
7,0.25,-0.0833333,11.40918935,11.409189353847143,3.847143048574253e-09,3.371968795729565e-08
8,0.25,0.0833333,11.40918935,11.409189353847143,3.847143048574253e-09,3.371968795729565e-08
9,-0.0833333,-0.25,11.40918935,11.409189353847143,3.847143048574253e-09,3.371968795729565e-08
10,0.0833333,-0.25,11.40918935,11.409189353847143,3.847143048574253e-09,3.371968795729565e-08
11,-0.0833333,0.25,11.40918935,11.409189353847143,3.847143048574253e-09,3.371968795729565e-08
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
