Number,X,Y,eval,real,Punctual_Abs_Error,Punctual_Rel_Error_%
1,0.5,-0.5,56.5,56.5,0.0,0.0
2,1.5,-0.5,756.5,756.5,0.0,0.0
3,0.5,1.0,56.5,56.5,0.0,0.0
4,1.5,1.0,156.5,156.5,0.0,0.0
5,0.5,0.0,6.5,6.5,0.0,0.0
6,0.5,0.5,6.5,6.5,0.0,0.0
7,1.5,0.0,506.5,506.5,0.0,0.0
8,1.5,0.5,306.5,306.5,0.0,0.0
9,0.833333,-0.5,142.6973983,142.69739825931674,4.068326120432175e-08,2.8510163254967076e-08
10,1.16667,-0.5,346.4041308,346.40413075093716,4.9062862217397196e-08,1.4163474930578455e-08
11,0.833333,1.0,9.364231593,9.364231592616777,3.8322234274801303e-10,4.092405649708242e-09
12,1.0,0.25,56.25,56.25,0.0,0.0
13,1.0,0.25,56.25,56.25,0.0,0.0
14,1.0,0.25,56.25,56.25,0.0,0.0
15,1.0,0.25,56.25,56.25,0.0,0.0
