Number,X,Y,eval,real
1,0.879,-4.0,18.828,19.52610969812953
2,0.827,-4.0,18.837,22.032418219225416
3,0.975,-4.0,18.859,17.073741594048624
4,4.0,-0.181,18.995,21.831903715881936
5,4.0,-0.133,19.002,19.3108332346328
6,4.0,-0.289,19.027,28.509513307954073
7,4.0,0.004,19.095,16.003174107167
8,0.904,-1.545,20.772,24.571851880485156
9,0.958,4.0,22.086,17.263947611667263
10,1.0,4.0,22.091,17.0
11,0.908,4.0,22.091,18.449183599578582
12,1.049,4.0,22.109,17.57060758482781
13,-4.0,-1.242,24.901,27.040120818202297
14,-4.0,-1.2,24.909,24.34983005625052
15,-4.0,-1.45,25.097,37.613065162951536
