Number,X,Y,eval,real
1,0.42,-0.516,-314.071,48.278176
2,0.75,1.38,-77.348,66.89312499999998
3,0.68,1.2,-161.897,54.50777599999998
4,0.6,-0.26,-399.762,38.6
5,0.708,-0.312,-344.54,66.2250973696
6,-0.188,0.2,-277.294,4.122503833600001
7,0.4,0.889,-290.193,53.504099999999994
8,-0.195,1.027,-32.002,99.23518006249999
9,0.194,-0.6,-236.183,41.307602849599995
10,0.701,-0.576,-210.34,114.02389048009996
11,0.9,-0.42,-182.353,151.29999999999998
12,1.103,0.416,-201.313,64.10808608810002
13,0.237,1.285,-66.696,151.5847316561
14,-0.556,0.449,-6.206,4.377329849599999
15,0.61,-0.652,-193.27,105.030181
