Number,X,Y,eval,real
1,3.828,-1.16,-39206.77,110.10360336926956
2,-0.18,3.8,-106289.743,51.03326288159999
3,1.298,0.297,-32605.791,3.3349103653986445
4,1.363,1.94,-5040.38,169.68591333045862
5,3.8,-1.1,-45898.662,90.12849984000002
6,1.782,-0.248,-857.37,1.523266155255528
7,1.2,2.319,-9653.794,334.4431127997521
8,-1.92,-3.2,-1484269.659,4882.2272160336015
9,2.4,3.8,-92690.167,18660.53839283999
10,3.843,-0.446,-19271.537,19.575878387177074
11,-0.16,-0.8,-45720.83,16.741192046400002
12,-0.16,-2.12,-871227.502,25.427724309936234
13,-1.7,-2.1,-688479.135,461.16682869
14,-0.16,-3.2,-2080347.79,69.75980785440002
15,-2.52,-1.4,-20115.286,202.44163825439995
