Number,X,Y,eval,real
1,-3.112,1.389,-138.447,66.961644336977
2,-0.423,-4.576,-98.111,419.7730288132169
3,0.42,-2.48,-691.826,177.17032912
4,-3.6,-2.4,-1457.1,23.6192
5,5.85,-0.884,-19.032,499.1444069299358
6,-4.8,-4.034,-837.406,84.10516060033599
7,5.7,-2.91,9.939,396.5980576100001
8,-1.8,0.66,-595.201,120.37318735999999
9,-3.24,-3.6,-1397.873,24.22808575999998
10,0.653,0.311,-96.608,144.386761611122
11,1.773,-2.543,-135.619,109.68622262264199
12,-3.567,-5.562,-44.517,429.6239725934571
13,-5.692,-1.882,-22.81,464.6318712002721
14,-0.507,-0.582,-805.663,179.638695964577
15,-2.857,0.497,-628.238,97.83010600368202
