Number,X,Y,eval,real
1,0.809,0.655,0.036,0.03650793609999997
2,0.823,0.68,0.032,0.032042424100000064
3,0.832,0.697,0.03,0.030505017600000014
4,0.874,0.763,0.016,0.0159527376
5,0.853,0.73,0.023,0.022180688100000023
6,1.09,1.183,0.01,0.010701000000000122
7,0.846,0.712,0.025,0.025096865599999966
8,0.859,0.748,0.031,0.03012041609999998
9,0.917,0.824,0.034,0.03541283210000051
10,0.971,0.96,0.03,0.030284128100000123
11,0.896,0.791,0.025,0.024777785600000112
12,1.16,1.348,0.027,0.02617600000000006
13,0.934,0.858,0.027,0.024965473600000412
14,0.925,0.842,0.024,0.024189062500000292
15,0.977,0.937,0.029,0.031255584099999664
